"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",-0.0511340951969511,0.4755,-0.05,0.55,0.17,-0.71,-0.41
"ClusIPW",0.608917145150309,0.483933333333333,-0.04,0.56,0.56,0.23,0.56
"addIPW",0.63283881385172,0.5268,0.05,0.62,0.47,0.32,0.54
"Oracle",0.636737471493429,0.497466666666667,0,0.63,0.32,0.32,0.63
