"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",-0.00176080296796851,0.552633333333333,0.11,0.51,0.42,-0.62,-0.4
"ClusIPW",0.367702176466594,0.3211,-0.42,0.57,-0.41,0.06,0.57
"addIPW",0.519131554802407,0.612666666666667,0.3,0.84,-0.01,0.08,0.44
"Oracle",0.623722468697492,0.502733333333333,0,0.63,0.32,0.32,0.63
