"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.242187781893608,0.674,0.4,0.75,0.17,-0.49,-0.1
"ClusIPW",0.581658361622581,0.486766666666667,-0.04,0.63,0.18,-0.16,0.74
"addIPW",0.48812942521227,0.520933333333333,0.03,0.36,-0.16,-0.04,0.92
"Oracle",0.639670567419811,0.499433333333333,0,0.63,0.32,0.32,0.63
