"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.27021615949495,0.516066666666667,0.06,0.65,0.41,-0.61,0.18
"ClusIPW",0.4777646728455,0.276666666666667,-0.5,0.31,0.15,0.21,0.76
"addIPW",0.36802612794737,0.621433333333333,0.32,-0.21,0.11,0.51,0.76
"Oracle",0.63827947002187,0.502766666666667,0,0.63,0.32,0.32,0.63
