"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.0805998179988712,0.408966666666667,-0.23,0.59,0.43,-0.51,-0.39
"ClusIPW",0.471344775616375,0.562533333333333,0.16,0.32,-0.16,0.04,0.92
"addIPW",0.413961858687512,0.351,-0.33,0.42,0.23,-0.37,0.72
"Oracle",0.608752220062238,0.4921,0,0.63,0.32,0.32,0.63
