"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.1702176926524,0.542433333333333,0.08,0.83,0.11,-0.5,-0.19
"ClusIPW",0.380757787688066,0.505766666666667,0.03,0.62,-0.43,-0.15,0.64
"addIPW",0.449237111443992,0.3151,-0.43,0.54,0.19,-0.29,0.63
"Oracle",0.628223005312698,0.4931,0,0.63,0.32,0.32,0.63
