"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",-0.0106894169912464,0.519066666666667,0.03,0.52,0.28,-0.76,-0.28
"ClusIPW",0.300828786950534,0.700966666666667,0.48,-0.13,0.67,0.09,0.54
"addIPW",0.592678996859313,0.596466666666667,0.23,0.47,0.47,0.28,0.65
"Oracle",0.632586086015455,0.4991,0,0.63,0.32,0.32,0.63
