"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",-0.162541083524998,0.4914,-0.04,0.46,0.07,-0.74,-0.48
"ClusIPW",0.520979072230731,0.472366666666667,-0.07,0.1,0.41,0.38,0.82
"addIPW",0.584701666199999,0.599466666666667,0.23,0.34,0.18,0.34,0.83
"Oracle",0.633908184288692,0.503666666666667,0,0.63,0.32,0.32,0.63
