"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.0816519080982094,0.411233333333333,-0.22,0.61,0.47,-0.47,-0.37
"ClusIPW",0.554505244956115,0.506633333333333,0.01,0.29,0.68,0.35,0.57
"addIPW",0.574517564545846,0.554033333333333,0.12,0.66,0.58,0.27,0.37
"Oracle",0.635321519098894,0.502733333333333,0,0.63,0.32,0.32,0.63
