"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",-0.0219429995992542,0.497166666666667,0,0.47,0.53,-0.48,-0.51
"ClusIPW",0.519017214246042,0.3037,-0.46,0.71,0.14,0.08,0.51
"addIPW",0.565151247734398,0.631933333333333,0.31,0.4,0.46,0.1,0.72
"Oracle",0.613791845979264,0.4943,0,0.63,0.32,0.32,0.63
