"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",-0.0418089716343864,0.5359,0.09,0.47,0.11,-0.84,-0.22
"ClusIPW",0.536207797126227,0.385966666666667,-0.27,0.62,0.62,0.04,0.39
"addIPW",0.444296715960948,0.5444,0.13,0.84,0.44,0.3,-0.03
"Oracle",0.632931286633816,0.499633333333333,0,0.63,0.32,0.32,0.63
