"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",-0.136124264065145,0.448233333333333,-0.13,0.51,0.01,-0.62,-0.58
"ClusIPW",0.369879403542409,0.436633333333333,-0.14,0.84,0.45,0.15,-0.23
"addIPW",0.479783083752613,0.705866666666667,0.48,0.35,0.57,0.39,0.41
"Oracle",0.652302084763517,0.504033333333333,0,0.63,0.32,0.32,0.63
