"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.149584865062375,0.515033333333333,0.04,0.74,0.42,-0.36,-0.39
"ClusIPW",0.516538773657938,0.7129,0.48,0.74,0.33,0.18,0.29
"addIPW",0.442391510268736,0.736566666666667,0.55,0.62,0.48,0.22,0.18
"Oracle",0.623419615375318,0.493166666666667,0,0.63,0.32,0.32,0.63
