"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",-0.019170652426516,0.511,0.03,0.52,0.34,-0.71,-0.33
"ClusIPW",0.610865988325415,0.442266666666667,-0.12,0.65,0.3,0.24,0.65
"addIPW",0.574689999320538,0.604533333333333,0.25,0.47,0.11,0.43,0.72
"Oracle",0.630083714079885,0.494866666666667,0,0.63,0.32,0.32,0.63
