"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.0350690513067834,0.5049,0.02,0.67,0.28,-0.53,-0.44
"ClusIPW",0.600583518624549,0.476066666666667,-0.06,0.57,0.54,0.37,0.49
"addIPW",0.625149730763454,0.553166666666667,0.13,0.65,0.36,0.34,0.57
"Oracle",0.638494206381643,0.500466666666667,0,0.63,0.32,0.32,0.63
