"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.113014686636935,0.568,0.15,0.54,0.48,-0.64,-0.19
"ClusIPW",0.434995695589574,0.2225,-0.61,0.61,0.03,0.03,0.5
"addIPW",0.558591913600997,0.424766666666667,-0.16,0.46,0.02,0.53,0.69
"Oracle",0.636748544916115,0.500766666666667,0,0.63,0.32,0.32,0.63
