"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.342602774339925,0.517533333333333,0.07,0.63,0.44,-0.56,0.29
"ClusIPW",0.577258536956151,0.546766666666667,0.12,0.35,0.5,0.5,0.61
"addIPW",0.593802923529656,0.478533333333333,-0.04,0.61,0.33,0.43,0.57
"Oracle",0.621397833971724,0.493533333333333,0,0.63,0.32,0.32,0.63
