"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.157373717616978,0.474533333333333,-0.05,0.72,0.38,-0.51,-0.28
"ClusIPW",0.510359030072874,0.366966666666667,-0.31,0.54,0.54,-0.13,0.54
"addIPW",0.515467586933641,0.5776,0.18,0.19,0.01,0.37,0.89
"Oracle",0.650580558694063,0.5,0,0.63,0.32,0.32,0.63
