"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.0383462281670605,0.484233333333333,-0.03,0.59,0.33,-0.68,-0.28
"ClusIPW",0.421230949446015,0.238866666666667,-0.58,0.33,0.46,-0.07,0.58
"addIPW",0.596327996872629,0.4611,-0.08,0.54,0.41,0.18,0.71
"Oracle",0.643929161717081,0.499066666666667,0,0.63,0.32,0.32,0.63
