"","Value","Tx_Prop","beta0","beta1","beta2","beta3","beta4"
"NoIntIPW",0.0696541878771888,0.514,0.04,0.62,0.33,-0.66,-0.27
"ClusIPW",0.540370965634545,0.4186,-0.21,0.56,0.56,-0.14,0.56
"addIPW",0.498141923488447,0.726433333333333,0.54,0.51,0.32,0.23,0.54
"Oracle",0.628245618822602,0.499433333333333,0,0.63,0.32,0.32,0.63
