"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.019,1,1,0,0,0
"ClusIPW",0.062,0.431,-0.31,0.91,-0.04,-0.28
"addIPW",0.093,0.462,-0.43,-0.02,0.9,-0.11
"Oracle",0.197,0.279,0,-0.16,0.08,-0.98
