"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.083,0.487,-0.26,-0.79,-0.17,0.53
"ClusIPW",0.079,0.376,-0.2,0.7,-0.37,-0.58
"addIPW",0.093,0.411,0.33,-0.19,-0.93,-0.01
"Oracle",0.196,0.28,0,-0.16,0.08,-0.98
