"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.065,0.535,0.11,-0.53,-0.56,0.62
"ClusIPW",0.156,0.043,-0.48,-0.18,-0.73,-0.44
"addIPW",0.146,0.237,0.22,-0.16,-0.87,-0.4
"Oracle",0.198,0.279,0,-0.16,0.08,-0.98
