"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.086,0.532,-0.3,-0.37,0.88,-0.08
"ClusIPW",0.113,0.224,-0.7,0.46,-0.28,-0.47
"addIPW",0.199,0.5,0.45,0,0,-0.89
"Oracle",0.199,0.258,-0.03,-0.16,0.05,-0.98
