"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.084,0.498,-0.19,-0.86,-0.12,0.46
"ClusIPW",0.102,0.269,-0.6,0.53,-0.29,-0.52
"addIPW",0.083,0.467,-0.4,0.13,0.89,-0.17
"Oracle",0.199,0.28,0,-0.16,0.08,-0.98
