"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.076,0.556,0.07,-0.88,0.37,0.29
"ClusIPW",0.144,0.088,-0.81,0.28,-0.34,-0.39
"addIPW",0.115,0.508,0.38,-0.32,0.13,-0.86
"Oracle",0.198,0.281,0,-0.16,0.08,-0.98
