"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.089,0.544,0.2,-0.83,0.44,-0.28
"ClusIPW",0.131,0.212,-0.6,-0.01,0.8,-0.06
"addIPW",0.199,0.503,0.45,0,0,-0.89
"Oracle",0.199,0.284,0,-0.16,0.08,-0.98
