"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.123,0.42,-0.21,-0.46,0.53,-0.68
"ClusIPW",0.06,0.432,-0.25,0.91,-0.29,-0.15
"addIPW",0.067,0.589,0.53,-0.67,-0.44,0.28
"Oracle",0.199,0.281,0,-0.16,0.08,-0.98
