"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.092,0.537,-0.19,-0.42,0.85,-0.26
"ClusIPW",0.077,0.397,-0.29,0.74,-0.03,-0.6
"addIPW",0.197,0.5,0.45,0,0,-0.89
"Oracle",0.197,0.282,0,-0.16,0.08,-0.98
