"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.09,0.509,-0.31,-0.62,0.72,0
"ClusIPW",0.101,0.289,-0.54,0.57,-0.29,-0.54
"addIPW",0.198,0.498,0.45,0,0,-0.89
"Oracle",0.197,0.283,0,-0.16,0.08,-0.98
