"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.091,0.489,-0.35,-0.83,0.42,0.12
"ClusIPW",0.105,0.26,-0.7,0.53,-0.23,-0.42
"addIPW",0.158,0,-1,0,0,0
"Oracle",0.198,0.28,0,-0.16,0.08,-0.98
