"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.084,0.511,-0.39,-0.63,0.6,0.29
"ClusIPW",0.102,0.261,-0.72,0.53,-0.38,-0.23
"addIPW",0.121,0.401,-0.4,0.01,0.88,-0.26
"Oracle",0.206,0.269,-0.01,-0.1,0.08,-0.99
