"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.1,0.457,0.24,-0.63,-0.73,-0.15
"ClusIPW",0.085,0.34,-0.57,0.7,-0.2,-0.39
"addIPW",0.199,0.502,0.45,0,0,-0.89
"Oracle",0.197,0.28,0,-0.16,0.08,-0.98
