"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.088,0.524,0.2,-0.98,0.05,-0.06
"ClusIPW",0.059,0.425,-0.28,0.85,-0.43,0.06
"addIPW",0.133,0.328,0.38,-0.11,-0.87,-0.29
"Oracle",0.197,0.279,0,-0.16,0.08,-0.98
