"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.097,0.485,-0.37,-0.53,0.76,-0.13
"ClusIPW",0.071,0.388,-0.49,0.83,-0.19,-0.19
"addIPW",0.197,0.499,0.45,0,0,-0.89
"Oracle",0.197,0.279,0,-0.16,0.08,-0.98
