"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.097,0.52,0.35,-0.82,-0.03,-0.46
"ClusIPW",0.138,0.129,-0.66,0.32,-0.43,-0.53
"addIPW",0.117,0.484,0.48,-0.3,-0.25,-0.78
"Oracle",0.198,0.281,0,-0.16,0.08,-0.98
