"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.102,0.453,0.21,-0.67,-0.65,-0.29
"ClusIPW",0.124,0.243,-0.64,-0.49,-0.26,-0.53
"addIPW",0.159,0,-1,0,0,0
"Oracle",0.207,0.301,0,-0.05,0.08,-1
