"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.1,0.472,-0.13,-0.91,0.21,-0.32
"ClusIPW",0.087,0.334,-0.55,0.68,-0.27,-0.39
"addIPW",0.16,0,-1,0,0,0
"Oracle",0.203,0.254,-0.03,-0.13,0.05,-0.99
