"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.083,0.537,-0.11,-0.83,0.52,0.17
"ClusIPW",0.138,0.135,-0.65,0.32,-0.34,-0.6
"addIPW",0.198,0.5,0.45,0,0,-0.89
"Oracle",0.199,0.282,0,-0.16,0.08,-0.98
