"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.2,0.501,0,0,0,-1
"ClusIPW",0.06,0.437,-0.29,0.93,-0.18,-0.14
"addIPW",0.073,0.271,-0.08,0.16,-0.91,0.36
"Oracle",0.2,0.282,0,-0.16,0.08,-0.98
