"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.088,0.52,0.16,-0.99,-0.04,0.01
"ClusIPW",0.066,0.624,0.62,0.4,0.21,-0.64
"addIPW",0.2,0.5,0.45,0,0,-0.89
"Oracle",0.198,0.281,0,-0.16,0.08,-0.98
