"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.079,0.496,-0.16,-0.74,-0.31,0.58
"ClusIPW",0.07,0.398,-0.39,0.84,-0.19,-0.32
"addIPW",0.164,0.474,0.33,-0.14,0.16,-0.92
"Oracle",0.206,0.263,-0.02,-0.08,0.08,-0.99
