"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.074,0.565,0.07,-0.85,0.46,0.24
"ClusIPW",0.087,0.344,-0.38,0.67,-0.33,-0.55
"addIPW",0.199,0.503,0.45,0,0,-0.89
"Oracle",0.197,0.279,0,-0.16,0.08,-0.98
