"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.064,0.513,-0.34,-0.53,0,0.77
"ClusIPW",0.067,0.408,-0.4,0.87,-0.21,-0.21
"addIPW",0.122,0.145,-0.95,0.3,0.04,-0.04
"Oracle",0.207,0.265,-0.02,-0.06,0.06,-1
