"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.104,0.451,-0.28,-0.88,0.23,-0.32
"ClusIPW",0.16,0.03,-0.67,-0.17,-0.27,-0.67
"addIPW",0.139,0.343,0.32,-0.24,-0.69,-0.6
"Oracle",0.199,0.281,0,-0.16,0.08,-0.98
