"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.09,0.514,-0.28,-0.65,0.71,0.02
"ClusIPW",0.157,0,-0.86,0.03,-0.26,-0.44
"addIPW",0.155,0.309,-0.42,-0.01,0.85,-0.33
"Oracle",0.199,0.283,0,-0.16,0.08,-0.98
