"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.02,1,1,0,0,0
"ClusIPW",0.083,0.329,-0.72,0.66,-0.16,-0.17
"addIPW",0.199,0.502,0.45,0,0,-0.89
"Oracle",0.204,0.251,-0.04,-0.05,0.08,-0.99
