"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.019,1,1,0,0,0
"ClusIPW",0.02,0.902,0.65,-0.18,-0.3,0.68
"addIPW",0.199,0.503,0.45,0,0,-0.89
"Oracle",0.207,0.275,0,-0.11,0.08,-0.99
