"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.093,0.497,-0.28,-0.73,0.61,-0.08
"ClusIPW",0.108,0.272,-0.53,0.5,-0.11,-0.67
"addIPW",0.197,0.499,0.45,0,0,-0.89
"Oracle",0.197,0.278,0,-0.16,0.08,-0.98
