"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.091,0.522,0.3,-0.93,-0.09,-0.19
"ClusIPW",0.116,0.222,-0.64,0.46,-0.43,-0.44
"addIPW",0.199,0.499,0.45,0,0,-0.89
"Oracle",0.198,0.282,0,-0.16,0.08,-0.98
