"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.199,0.499,0,0,0,-1
"ClusIPW",0.094,0.307,-0.55,0.62,-0.3,-0.48
"addIPW",0.148,0.523,0.51,-0.13,-0.09,-0.85
"Oracle",0.197,0.28,0,-0.16,0.08,-0.98
