"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.096,0.49,0.43,-0.5,-0.73,-0.21
"ClusIPW",0.1,0.283,-0.6,0.57,-0.34,-0.44
"addIPW",0.197,0.502,0.45,0,0,-0.89
"Oracle",0.199,0.279,0,-0.16,0.08,-0.98
