"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.034,0.667,-0.34,-0.2,0.71,0.58
"ClusIPW",0.064,0.422,-0.29,0.9,-0.18,-0.28
"addIPW",0.199,0.501,0.45,0,0,-0.89
"Oracle",0.198,0.28,0,-0.16,0.08,-0.98
