"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.095,0.53,0.44,-0.74,-0.02,-0.5
"ClusIPW",0.062,0.673,0.7,0.3,0.1,-0.64
"addIPW",0.198,0.498,0.45,0,0,-0.89
"Oracle",0.198,0.28,0,-0.16,0.08,-0.98
