"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.111,0.561,0.26,-0.23,0.52,-0.78
"ClusIPW",0.06,0.436,-0.28,0.93,-0.12,-0.22
"addIPW",0.106,0.357,-0.4,0.21,0.76,-0.47
"Oracle",0.196,0.277,0,-0.16,0.08,-0.98
