"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.088,0.531,-0.02,-0.87,0.5,-0.04
"ClusIPW",0.067,0.407,-0.39,0.87,-0.18,-0.24
"addIPW",0.199,0.5,0.45,0,0,-0.89
"Oracle",0.198,0.28,0,-0.16,0.08,-0.98
