"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.019,1,1,0,0,0
"ClusIPW",0.073,0.367,-0.52,0.73,-0.45,0.02
"addIPW",0.046,0.554,-0.26,-0.36,-0.06,0.89
"Oracle",0.198,0.28,0,-0.16,0.08,-0.98
