"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.095,0.473,0.13,-0.82,-0.56,-0.04
"ClusIPW",0.078,0.365,-0.52,0.76,-0.27,-0.3
"addIPW",0.158,0,-1,0,0,0
"Oracle",0.197,0.282,0,-0.16,0.08,-0.98
