"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.089,0.498,-0.41,-0.61,0.67,0.14
"ClusIPW",0.045,0.721,0.85,0.52,0.04,0.09
"addIPW",0.197,0.5,0.45,0,0,-0.89
"Oracle",0.198,0.283,0,-0.16,0.08,-0.98
