"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.086,0.497,-0.47,-0.38,0.79,0.14
"ClusIPW",0.155,0.031,-0.79,0.2,-0.43,-0.38
"addIPW",0.15,0.318,-0.42,-0.1,0.81,-0.39
"Oracle",0.196,0.28,0,-0.16,0.08,-0.98
