"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.087,0.548,0.55,-0.72,-0.34,-0.25
"ClusIPW",0.137,0.148,-0.67,0.33,-0.23,-0.62
"addIPW",0.197,0.501,0.45,0,0,-0.89
"Oracle",0.199,0.277,0,-0.15,0.08,-0.98
