"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.102,0.459,0.32,-0.56,-0.73,-0.24
"ClusIPW",0.062,0.437,-0.12,0.89,-0.18,-0.4
"addIPW",0.127,0.512,0.33,-0.21,0.27,-0.88
"Oracle",0.196,0.279,0,-0.16,0.08,-0.98
