"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.019,1,1,0,0,0
"ClusIPW",0.044,0.74,0.61,0.5,0.61,0.12
"addIPW",0.085,0.349,-0.57,0.06,0.82,0.06
"Oracle",0.197,0.281,0,-0.16,0.08,-0.98
