"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.067,0.505,-0.53,-0.34,0.6,0.5
"ClusIPW",0.05,0.559,0.32,0.91,0.26,-0.07
"addIPW",0.069,0.512,-0.45,0,0.89,0.03
"Oracle",0.199,0.282,0,-0.16,0.08,-0.98
